epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.304,1.79454,2.22564,1.6137,0.45174,0.20826,0.19241,0.09981,1.97289,5.44169,2.15014,0.0700435,0.0033285,0.0033285
2,655.637,1.67108,1.70931,1.59481,0.58974,0.34652,0.3287,0.17516,1.79116,2.41242,1.88462,0.0399994,0.00661764,0.00661764
3,969.855,1.60059,1.50504,1.54016,0.67831,0.33805,0.39129,0.20307,1.73473,2.035,1.90199,0.00991094,0.00986256,0.00986256
4,1274.86,1.53488,1.38012,1.49762,0.47753,0.35253,0.40427,0.21797,1.77132,1.93444,1.90831,0.009801,0.009801,0.009801
5,1579.86,1.49271,1.29796,1.46072,0.77895,0.40013,0.47308,0.25409,1.74303,1.68129,1.92588,0.00973467,0.00973467,0.00973467
6,1884.59,1.46839,1.21115,1.43264,0.78528,0.3986,0.48495,0.25896,1.69092,1.68754,1.8621,0.00966833,0.00966833,0.00966833
7,2190.11,1.43939,1.16707,1.41387,0.74549,0.4299,0.48428,0.27872,1.60513,1.51801,1.79956,0.009602,0.009602,0.009602
8,2495.54,1.43537,1.15014,1.41226,0.70695,0.43984,0.48596,0.26812,1.61867,1.515,1.78618,0.00953567,0.00953567,0.00953567
9,2799.12,1.39478,1.10022,1.38603,0.73066,0.40386,0.46839,0.24876,1.74806,1.5683,1.95968,0.00946933,0.00946933,0.00946933
10,3102.27,1.39574,1.07234,1.37275,0.71068,0.40806,0.44118,0.23821,1.76385,1.5361,1.93465,0.009403,0.009403,0.009403
11,3406.1,1.39079,1.0526,1.37139,0.80502,0.47055,0.53694,0.28919,1.62508,1.32304,1.79392,0.00933667,0.00933667,0.00933667
12,3712.22,1.36922,1.0318,1.36217,0.82203,0.4609,0.54201,0.28896,1.67933,1.37181,1.84118,0.00927033,0.00927033,0.00927033
13,4016,1.34737,0.99931,1.34551,0.77482,0.44527,0.509,0.28025,1.74598,1.54571,1.87449,0.009204,0.009204,0.009204
14,4319.29,1.34045,0.99149,1.34198,0.80671,0.52277,0.59224,0.34706,1.4714,1.18522,1.68787,0.00913767,0.00913767,0.00913767
15,4623.84,1.35398,0.99467,1.34727,0.82178,0.52024,0.59065,0.30862,1.59999,1.25012,1.75824,0.00907133,0.00907133,0.00907133
16,4927.16,1.33145,0.96967,1.33523,0.81274,0.53108,0.60103,0.33922,1.51131,1.23129,1.6767,0.009005,0.009005,0.009005
17,5230.8,1.32785,0.96565,1.33341,0.84117,0.53345,0.61929,0.3599,1.4727,1.13576,1.66976,0.00893867,0.00893867,0.00893867
18,5535.52,1.31531,0.93834,1.32067,0.8581,0.54104,0.63366,0.38131,1.41782,1.12201,1.63539,0.00887233,0.00887233,0.00887233
19,5841.17,1.30504,0.92389,1.31421,0.82577,0.52417,0.61094,0.35737,1.4613,1.11362,1.67188,0.008806,0.008806,0.008806
20,6144.57,1.29928,0.94227,1.31864,0.78614,0.5376,0.57934,0.32824,1.48057,1.16922,1.6746,0.00873967,0.00873967,0.00873967
21,6447.6,1.30705,0.93076,1.321,0.85626,0.60411,0.67007,0.39271,1.42138,1.01449,1.62978,0.00867333,0.00867333,0.00867333
22,6753.41,1.2932,0.91132,1.31065,0.84649,0.59285,0.66329,0.36923,1.45972,1.08441,1.64155,0.008607,0.008607,0.008607
23,7056.58,1.27867,0.8942,1.29941,0.86905,0.56172,0.63551,0.37451,1.42646,1.0709,1.64177,0.00854067,0.00854067,0.00854067
24,7359.68,1.28726,0.90599,1.3051,0.86322,0.58926,0.66398,0.38508,1.44273,1.03056,1.62477,0.00847433,0.00847433,0.00847433
25,7662.69,1.26466,0.87671,1.28979,0.88202,0.58269,0.67357,0.40564,1.36665,0.98511,1.58971,0.008408,0.008408,0.008408
26,7967.48,1.25785,0.87073,1.28857,0.90524,0.59713,0.69533,0.42005,1.36184,0.97269,1.57636,0.00834167,0.00834167,0.00834167
27,8272.34,1.26313,0.87453,1.29212,0.89364,0.59496,0.6835,0.39153,1.41344,1.02195,1.61838,0.00827533,0.00827533,0.00827533
28,8575.44,1.25349,0.87179,1.29016,0.85754,0.60917,0.67395,0.41234,1.36508,0.98294,1.5801,0.008209,0.008209,0.008209
29,8878.42,1.25617,0.86431,1.28933,0.86786,0.59873,0.67672,0.40095,1.3899,0.99089,1.59699,0.00814267,0.00814267,0.00814267
30,9181.63,1.24637,0.85868,1.28236,0.90358,0.6093,0.70392,0.41955,1.3724,0.93691,1.58023,0.00807633,0.00807633,0.00807633
31,9484.59,1.24498,0.85541,1.27875,0.88878,0.62085,0.7092,0.43455,1.32549,0.95703,1.54915,0.00801,0.00801,0.00801
32,9790.37,1.24187,0.84501,1.28032,0.87489,0.63741,0.69736,0.4229,1.3722,0.93108,1.58348,0.00794367,0.00794367,0.00794367
33,10093.3,1.2353,0.84523,1.27686,0.90178,0.62266,0.70527,0.42888,1.36703,0.9059,1.56479,0.00787733,0.00787733,0.00787733
34,10396.8,1.23633,0.84224,1.27702,0.90822,0.63165,0.71147,0.43708,1.33993,0.92862,1.56103,0.007811,0.007811,0.007811
35,10700.8,1.22171,0.82245,1.26854,0.87686,0.62665,0.69949,0.43651,1.30886,0.90464,1.52661,0.00774467,0.00774467,0.00774467
36,11003.8,1.21771,0.81619,1.26336,0.90799,0.64559,0.71651,0.43807,1.31397,0.88675,1.53565,0.00767833,0.00767833,0.00767833
37,11308.2,1.23203,0.8354,1.27686,0.91465,0.6377,0.71816,0.43084,1.32333,0.88247,1.54332,0.007612,0.007612,0.007612
38,11611.2,1.2242,0.82422,1.2696,0.88611,0.64762,0.72056,0.43818,1.31259,0.88914,1.53416,0.00754567,0.00754567,0.00754567
39,11915.8,1.21218,0.80983,1.25981,0.90106,0.65223,0.72561,0.44531,1.32598,0.88368,1.54469,0.00747933,0.00747933,0.00747933
40,12220.6,1.21367,0.80983,1.25945,0.8979,0.64002,0.73768,0.45177,1.30792,0.8665,1.5292,0.007413,0.007413,0.007413
