epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.112,1.1559,1.846,1.09952,1.23575,0.39215,0.8109,0.74715,0.46319,0.42252,0.40015,0.55489,0.2942,1.57709,4.33154,1.83118,1.42903,0.0700713,0.00332542,0.00332542
2,308.236,1.02305,1.55306,0.8633,1.1436,0.46648,0.85349,0.78017,0.55744,0.45391,0.84322,0.73628,0.44194,1.32294,1.77412,1.15334,1.238,0.0400273,0.0066148,0.0066148
3,406.111,0.953,1.43815,0.79559,1.09513,0.66738,0.76125,0.80051,0.53519,0.59367,0.74429,0.70002,0.43261,1.49709,2.09534,1.17993,1.15568,0.00993936,0.00986019,0.00986019
4,501.899,0.88775,1.36075,0.73709,1.05839,0.79677,0.94469,0.92015,0.67637,0.78266,0.93136,0.87816,0.56859,1.16558,1.61355,0.82167,1.09472,0.009802,0.009802,0.009802
5,597.957,0.84605,1.31485,0.70733,1.04594,0.88563,0.87329,0.9442,0.73297,0.85094,0.84326,0.87731,0.55383,1.02348,1.56021,0.82172,0.98,0.009736,0.009736,0.009736
6,693.84,0.81393,1.25813,0.68016,1.02369,0.90412,0.89997,0.92522,0.70636,0.8937,0.89067,0.89933,0.61105,1.08953,1.52774,0.90228,0.96562,0.00967,0.00967,0.00967
7,789.186,0.80628,1.2513,0.66862,1.01896,0.8801,0.92798,0.95006,0.74292,0.86346,0.91596,0.92185,0.60189,1.0355,1.58023,0.73234,0.96408,0.009604,0.009604,0.009604
8,884.541,0.77891,1.21253,0.64699,1.00897,0.88853,0.89762,0.92979,0.70395,0.85719,0.87527,0.88935,0.53037,1.1322,1.85564,0.82562,1.00095,0.009538,0.009538,0.009538
9,979.849,0.77107,1.20677,0.64406,1.00251,0.93955,0.88029,0.9399,0.7449,0.93578,0.87863,0.93474,0.59574,1.00735,1.46815,0.78472,0.9472,0.009472,0.009472,0.009472
10,1077.33,0.75175,1.16744,0.62563,0.99131,0.93103,0.94572,0.95795,0.76268,0.91403,0.93237,0.92318,0.59969,0.96927,1.44638,0.67791,0.91408,0.009406,0.009406,0.009406
11,1175.73,0.75458,1.16617,0.6256,0.98874,0.90001,0.91624,0.92979,0.71328,0.86574,0.88343,0.87495,0.56679,1.04444,1.63087,0.79163,0.9374,0.00934,0.00934,0.00934
12,1273.21,0.73707,1.14408,0.61509,0.98877,0.87591,0.91327,0.94318,0.74835,0.86785,0.90537,0.91796,0.55673,1.01185,1.87261,0.83509,0.95691,0.009274,0.009274,0.009274
13,1367.4,0.73342,1.1368,0.61229,0.98566,0.85852,0.89352,0.92615,0.75682,0.85294,0.88911,0.91654,0.60465,0.99844,1.54804,0.8227,0.9233,0.009208,0.009208,0.009208
