epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3724,1.6299,1.2298,1.23775,0.75664,0.73833,0.78295,0.3904,1.69386,1.48873,1.45752,0.0701775,0.00331361,0.00331361
2,77.677,1.57617,0.98958,1.22623,0.66838,0.55374,0.59931,0.28876,1.81463,2.07967,1.38503,0.0401336,0.00660307,0.00660307
3,104.917,1.55279,0.96045,1.2163,0.7991,0.7557,0.81587,0.45554,1.50946,1.39591,1.2797,0.0100458,0.00984854,0.00984854
4,131.632,1.49774,0.90366,1.19548,0.86917,0.82948,0.89531,0.51836,1.44058,0.93961,1.2262,0.009802,0.009802,0.009802
5,157.82,1.46027,0.86346,1.17751,0.87625,0.85195,0.91381,0.54803,1.38219,0.81276,1.2035,0.009736,0.009736,0.009736
6,182.798,1.41993,0.82116,1.14785,0.85971,0.8239,0.88766,0.498,1.49675,0.85792,1.25619,0.00967,0.00967,0.00967
7,207.622,1.40338,0.82207,1.14529,0.89234,0.81004,0.90062,0.53333,1.41664,0.85564,1.20179,0.009604,0.009604,0.009604
8,232.481,1.39263,0.79764,1.13637,0.87673,0.82172,0.90054,0.52881,1.3989,0.8176,1.21225,0.009538,0.009538,0.009538
9,257.287,1.38098,0.79187,1.12653,0.87854,0.87888,0.92581,0.56345,1.3538,0.79643,1.17263,0.009472,0.009472,0.009472
10,282.455,1.37036,0.77088,1.12616,0.91636,0.85849,0.93314,0.58249,1.3179,0.70953,1.15213,0.009406,0.009406,0.009406
11,307.454,1.36124,0.76228,1.12665,0.90578,0.83761,0.92872,0.5863,1.31468,0.75397,1.15295,0.00934,0.00934,0.00934
12,332.625,1.34856,0.74807,1.11453,0.88562,0.865,0.92579,0.56459,1.34327,0.77543,1.17104,0.009274,0.009274,0.009274
13,357.701,1.34508,0.74394,1.11181,0.90168,0.86813,0.9243,0.56849,1.33898,0.76199,1.25938,0.009208,0.009208,0.009208
14,382.68,1.34149,0.74696,1.11472,0.85835,0.83203,0.90112,0.52563,1.41395,0.91424,1.21042,0.009142,0.009142,0.009142
15,408.06,1.32967,0.73226,1.10459,0.88647,0.8451,0.91946,0.56359,1.34218,0.72239,1.17326,0.009076,0.009076,0.009076
16,433.351,1.32739,0.73269,1.1088,0.89615,0.84987,0.92385,0.57293,1.36502,0.74831,1.20149,0.00901,0.00901,0.00901
17,458.638,1.32916,0.73321,1.10912,0.86944,0.86917,0.91432,0.54643,1.38728,0.75781,1.19,0.008944,0.008944,0.008944
18,483.732,1.30385,0.71119,1.09608,0.91889,0.88558,0.94681,0.60831,1.25233,0.65976,1.11258,0.008878,0.008878,0.008878
19,509.145,1.30608,0.71329,1.09455,0.91767,0.8808,0.9422,0.61205,1.25113,0.67662,1.12169,0.008812,0.008812,0.008812
20,534.761,1.29695,0.70676,1.09437,0.91415,0.87727,0.94077,0.60582,1.24924,0.68228,1.12234,0.008746,0.008746,0.008746
21,559.783,1.29705,0.70155,1.08821,0.92203,0.90076,0.95419,0.61656,1.2624,0.67085,1.11399,0.00868,0.00868,0.00868
22,584.891,1.29845,0.6982,1.08937,0.91262,0.86887,0.93986,0.60264,1.25716,0.68069,1.12496,0.008614,0.008614,0.008614
23,609.761,1.28956,0.70185,1.0906,0.91764,0.90905,0.95543,0.62126,1.25801,0.64822,1.122,0.008548,0.008548,0.008548
24,634.691,1.2771,0.69216,1.08289,0.20135,0.84382,0.19606,0.1212,1.27918,2.53021,1.14618,0.008482,0.008482,0.008482
25,659.798,1.28654,0.69984,1.08922,0.91631,0.87766,0.94658,0.61034,1.24674,0.69756,1.12209,0.008416,0.008416,0.008416
26,684.859,1.28917,0.69761,1.0886,0.91754,0.90969,0.95516,0.62131,1.23664,0.67214,1.12428,0.00835,0.00835,0.00835
27,710.062,1.27653,0.68626,1.08409,0.92078,0.90167,0.95506,0.63073,1.21034,0.6461,1.10408,0.008284,0.008284,0.008284
28,734.995,1.2794,0.68422,1.08292,0.92199,0.90566,0.95492,0.62658,1.21389,0.63434,1.08736,0.008218,0.008218,0.008218
29,759.814,1.27228,0.68878,1.08158,0.91917,0.90789,0.95336,0.62169,1.2397,0.6453,1.10643,0.008152,0.008152,0.008152
30,784.467,1.27386,0.68167,1.08138,0.92597,0.89704,0.95686,0.63569,1.21947,0.63648,1.10474,0.008086,0.008086,0.008086
31,809.09,1.27523,0.68265,1.08401,0.92607,0.8945,0.95582,0.63282,1.2253,0.62528,1.09999,0.00802,0.00802,0.00802
32,833.784,1.27094,0.67382,1.08087,0.92917,0.89472,0.95882,0.62532,1.26196,0.64386,1.11623,0.007954,0.007954,0.007954
33,858.934,1.26537,0.67461,1.07653,0.92677,0.90754,0.96059,0.64496,1.20263,0.62268,1.08398,0.007888,0.007888,0.007888
34,883.898,1.26269,0.67428,1.07849,0.92307,0.90829,0.95809,0.6377,1.20875,0.62025,1.10311,0.007822,0.007822,0.007822
35,908.994,1.25133,0.67485,1.07601,0.92597,0.89698,0.95669,0.63169,1.21823,0.63045,1.10292,0.007756,0.007756,0.007756
36,934.064,1.25977,0.67228,1.07296,0.9201,0.90284,0.95782,0.62326,1.24223,0.63351,1.1167,0.00769,0.00769,0.00769
37,959.036,1.2526,0.672,1.07362,0.92078,0.89849,0.95632,0.6353,1.20724,0.63801,1.08994,0.007624,0.007624,0.007624
38,984.259,1.25301,0.67021,1.06836,0.92708,0.90884,0.96212,0.64198,1.19168,0.61267,1.09268,0.007558,0.007558,0.007558
39,1009.64,1.24565,0.65628,1.06695,0.92721,0.91558,0.95799,0.63682,1.20075,0.61459,1.09404,0.007492,0.007492,0.007492
40,1035.01,1.25027,0.66475,1.07227,0.93096,0.90033,0.95795,0.6363,1.21364,0.61909,1.09241,0.007426,0.007426,0.007426
41,1060.27,1.2466,0.65911,1.07256,0.93382,0.90391,0.95985,0.64152,1.19619,0.62594,1.08979,0.00736,0.00736,0.00736
42,1085.12,1.25034,0.66117,1.06765,0.92659,0.91317,0.95923,0.6394,1.2193,0.61052,1.09392,0.007294,0.007294,0.007294
43,1109.79,1.2411,0.65624,1.0678,0.92807,0.90476,0.95935,0.63966,1.19863,0.62869,1.09273,0.007228,0.007228,0.007228
44,1134.68,1.24757,0.65444,1.0739,0.9319,0.90932,0.96285,0.64973,1.17811,0.60504,1.08786,0.007162,0.007162,0.007162
45,1159.41,1.241,0.65063,1.06622,0.92858,0.91161,0.95929,0.63372,1.20851,0.62616,1.09241,0.007096,0.007096,0.007096
46,1184.19,1.2388,0.65272,1.06463,0.93633,0.89817,0.95892,0.6328,1.20887,0.62377,1.10555,0.00703,0.00703,0.00703
47,1209.23,1.25319,0.65684,1.07403,0.93751,0.90821,0.96279,0.64564,1.18524,0.59808,1.08679,0.006964,0.006964,0.006964
48,1234.23,1.23227,0.64392,1.06271,0.93078,0.91283,0.96287,0.64651,1.1859,0.61033,1.08767,0.006898,0.006898,0.006898
49,1259.12,1.23757,0.64641,1.06491,0.93562,0.91254,0.96228,0.64713,1.18316,0.59156,1.08439,0.006832,0.006832,0.006832
50,1283.93,1.22517,0.6418,1.06008,0.92288,0.90967,0.96073,0.6437,1.19461,0.61521,1.09149,0.006766,0.006766,0.006766
51,1308.76,1.22743,0.64192,1.05982,0.92532,0.91857,0.96413,0.64011,1.19111,0.61257,1.0921,0.0067,0.0067,0.0067
52,1333.58,1.23672,0.64349,1.06277,0.94262,0.91586,0.96494,0.65296,1.16832,0.58067,1.07048,0.006634,0.006634,0.006634
53,1358.64,1.22769,0.63899,1.05975,0.93506,0.8988,0.96045,0.63734,1.21173,0.61604,1.09353,0.006568,0.006568,0.006568
54,1383.86,1.24149,0.6441,1.06516,0.94001,0.89901,0.96271,0.65298,1.18157,0.59986,1.08392,0.006502,0.006502,0.006502
55,1409.36,1.23104,0.64123,1.06062,0.931,0.91168,0.96272,0.64458,1.21112,0.59848,1.10596,0.006436,0.006436,0.006436
