epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2927,2.00679,2.12381,1.75356,0.26792,0.22037,0.16961,0.04926,2.14738,21.7741,2.30429,0.0700926,0.00332305,0.00332305
2,131.647,1.96575,1.88221,1.75125,0.1219,0.30013,0.10996,0.03121,2.46416,4.44969,2.57013,0.0400487,0.00661245,0.00661245
3,182.713,1.90127,1.75672,1.73935,0.32965,0.32835,0.26692,0.09067,2.24919,3.48416,2.27884,0.00996073,0.00985785,0.00985785
4,231.258,1.82273,1.62749,1.63892,0.56476,0.57353,0.60884,0.28812,1.71802,1.75229,1.69299,0.009802,0.009802,0.009802
5,282.013,1.73057,1.49564,1.57487,0.68907,0.76797,0.68879,0.32236,1.68847,1.45199,1.67233,0.009736,0.009736,0.009736
6,329.634,1.69381,1.39589,1.54401,0.62008,0.6797,0.71904,0.38908,1.54065,1.93053,1.58137,0.00967,0.00967,0.00967
7,378.529,1.67494,1.39878,1.53432,0.79044,0.74275,0.8119,0.41457,1.58672,1.30506,1.6459,0.009604,0.009604,0.009604
8,426.135,1.64293,1.34409,1.50154,0.83776,0.76512,0.85638,0.46463,1.5364,1.13812,1.58113,0.009538,0.009538,0.009538
9,474.866,1.61192,1.30347,1.48082,0.85299,0.81582,0.88606,0.44404,1.61329,1.07529,1.61358,0.009472,0.009472,0.009472
10,525.533,1.59754,1.26708,1.45968,0.61032,0.47667,0.53488,0.22133,1.9576,1.99716,1.89051,0.009406,0.009406,0.009406
11,573.7,1.58562,1.24008,1.44348,0.76612,0.84679,0.84622,0.44477,1.51158,1.21346,1.51554,0.00934,0.00934,0.00934
12,622.76,1.56973,1.21263,1.42956,0.86659,0.86009,0.91503,0.51541,1.43097,1.01281,1.43355,0.009274,0.009274,0.009274
13,670.737,1.55905,1.21054,1.43278,0.83552,0.84875,0.89077,0.45771,1.54359,1.1473,1.51036,0.009208,0.009208,0.009208
14,717.941,1.54059,1.17848,1.41761,0.85477,0.77931,0.85647,0.48947,1.46142,1.19079,1.49382,0.009142,0.009142,0.009142
15,767.468,1.53291,1.16563,1.42189,0.86071,0.84489,0.89526,0.51767,1.40494,0.96584,1.44016,0.009076,0.009076,0.009076
16,816.577,1.52578,1.15663,1.41551,0.83407,0.81526,0.88348,0.50669,1.4375,0.98311,1.47611,0.00901,0.00901,0.00901
17,865.758,1.52767,1.16927,1.41104,0.87376,0.86842,0.92619,0.52437,1.43617,0.96892,1.46196,0.008944,0.008944,0.008944
18,915.739,1.49036,1.13648,1.38854,0.76995,0.8019,0.82075,0.41043,1.62005,1.15122,1.61672,0.008878,0.008878,0.008878
19,962.635,1.50557,1.11153,1.39046,0.82289,0.81146,0.85112,0.42575,1.66042,1.05961,1.51679,0.008812,0.008812,0.008812
20,1012.46,1.50473,1.1152,1.39258,0.89997,0.85813,0.92597,0.56103,1.35474,0.86106,1.37457,0.008746,0.008746,0.008746
21,1061.92,1.49597,1.09895,1.38906,0.91008,0.84237,0.92861,0.54122,1.41634,0.90789,1.44968,0.00868,0.00868,0.00868
22,1111.47,1.4802,1.09278,1.37947,0.8941,0.85435,0.92787,0.55709,1.36893,0.87299,1.38523,0.008614,0.008614,0.008614
23,1161.11,1.45496,1.07643,1.3601,0.91935,0.89119,0.95201,0.55615,1.35894,0.81568,1.37232,0.008548,0.008548,0.008548
24,1208.53,1.44905,1.06685,1.35457,0.92801,0.87775,0.94612,0.58149,1.31301,0.81795,1.3683,0.008482,0.008482,0.008482
25,1256.54,1.45775,1.07452,1.35782,0.9166,0.87327,0.94195,0.55535,1.41915,0.84123,1.35875,0.008416,0.008416,0.008416
26,1303.85,1.44783,1.05071,1.35139,0.92351,0.89063,0.95719,0.58994,1.33698,0.79928,1.32516,0.00835,0.00835,0.00835
27,1352.08,1.45214,1.039,1.34908,0.93241,0.88716,0.95972,0.58056,1.34379,0.7879,1.36377,0.008284,0.008284,0.008284
28,1400.23,1.42346,1.02294,1.33078,0.92534,0.91677,0.95826,0.57236,1.31067,0.79392,1.33592,0.008218,0.008218,0.008218
29,1450.91,1.43456,1.03218,1.34127,0.89875,0.90671,0.93982,0.56475,1.33466,0.8335,1.38199,0.008152,0.008152,0.008152
30,1500.89,1.43598,1.01966,1.34049,0.92213,0.91299,0.95735,0.60438,1.26212,0.75859,1.28471,0.008086,0.008086,0.008086
31,1549.23,1.41216,1.02594,1.34113,0.93132,0.91479,0.96002,0.60604,1.24846,0.80507,1.2972,0.00802,0.00802,0.00802
32,1598.26,1.41219,1.01418,1.3273,0.93624,0.90732,0.96214,0.61495,1.27207,0.76997,1.32845,0.007954,0.007954,0.007954
33,1646.62,1.42078,1.02836,1.33476,0.92671,0.90101,0.96357,0.61171,1.25871,0.75144,1.26829,0.007888,0.007888,0.007888
34,1694.96,1.40033,0.98703,1.32286,0.92946,0.90227,0.96746,0.61398,1.28538,0.73777,1.29499,0.007822,0.007822,0.007822
35,1741.83,1.39566,1.01337,1.32813,0.92961,0.90164,0.95708,0.59986,1.27787,0.75898,1.32142,0.007756,0.007756,0.007756
36,1790.73,1.38411,0.97993,1.31479,0.94893,0.91387,0.96937,0.61623,1.26518,0.72586,1.30149,0.00769,0.00769,0.00769
37,1839.17,1.37542,0.976,1.31296,0.94537,0.91488,0.97069,0.60948,1.29304,0.71612,1.29926,0.007624,0.007624,0.007624
38,1889.72,1.38526,0.98021,1.3217,0.93572,0.9179,0.96206,0.61764,1.23301,0.74695,1.29403,0.007558,0.007558,0.007558
39,1939.54,1.36621,0.95512,1.30396,0.95744,0.92182,0.9715,0.63707,1.19434,0.69722,1.25675,0.007492,0.007492,0.007492
40,1988.8,1.37042,0.95958,1.30354,0.94546,0.90227,0.96658,0.63623,1.21387,0.73969,1.26939,0.007426,0.007426,0.007426
41,2036.92,1.37567,0.9698,1.30491,0.95396,0.93001,0.97892,0.64436,1.18901,0.68775,1.21786,0.00736,0.00736,0.00736
