epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.562,2.19014,2.29456,1.09763,0.53396,0.29496,0.31323,0.13371,2.21725,2.47922,1.20709,0.0700316,0.00332982,0.00332982
2,370.56,2.13262,2.03624,1.07375,0.00562,0.51807,0.00459,0.00199,2.12992,inf,1.63851,0.0399876,0.00661918,0.00661918
3,507.288,2.05239,1.92532,1.06605,0.56858,0.39268,0.39407,0.17191,1.95929,2.08211,1.09758,0.00989966,0.00986453,0.00986453
4,665.786,1.9743,1.79322,1.04169,0.55219,0.27292,0.27655,0.14166,1.93662,7.02939,1.16831,0.009802,0.009802,0.009802
5,870.301,1.89826,1.69238,1.02441,0.69601,0.46363,0.51107,0.24837,1.78962,1.804,1.05437,0.009736,0.009736,0.009736
6,1030.48,1.86582,1.60861,1.01739,0.70687,0.45649,0.5097,0.2493,1.78184,1.57676,1.05531,0.00967,0.00967,0.00967
7,1186.42,1.83106,1.56731,1.01061,0.74616,0.50067,0.55679,0.29233,1.70195,1.45828,1.03521,0.009604,0.009604,0.009604
8,1327.97,1.81732,1.56951,1.00232,0.80018,0.49888,0.57758,0.29758,1.66763,1.38481,1.0156,0.009538,0.009538,0.009538
9,1461.79,1.81455,1.52257,1.00532,0.73742,0.50915,0.55802,0.29699,1.65592,1.42199,1.01858,0.009472,0.009472,0.009472
10,1600.95,1.80311,1.51093,0.99772,0.83305,0.50424,0.57215,0.29253,1.66958,1.39931,1.01524,0.009406,0.009406,0.009406
11,1730.85,1.78154,1.47489,0.99622,0.79949,0.50647,0.58975,0.31611,1.61644,1.37593,1.01683,0.00934,0.00934,0.00934
12,1860.87,1.76678,1.44412,0.99158,0.83439,0.50809,0.58728,0.30932,1.61831,1.32033,1.00245,0.009274,0.009274,0.009274
13,1995.24,1.7656,1.44616,0.99456,0.78468,0.51673,0.59385,0.31052,1.61264,1.30556,1.00934,0.009208,0.009208,0.009208
14,2125.97,1.75621,1.42785,0.99257,0.78709,0.50335,0.58313,0.31436,1.63317,1.36193,1.00944,0.009142,0.009142,0.009142
15,2255.63,1.75109,1.42416,0.98403,0.83581,0.54063,0.61839,0.33009,1.58193,1.26113,1.00076,0.009076,0.009076,0.009076
16,2384.89,1.73393,1.39642,0.9847,0.87142,0.51138,0.61839,0.33788,1.59144,1.2802,1.00494,0.00901,0.00901,0.00901
17,2514.97,1.75112,1.39411,0.98308,0.81234,0.52735,0.61042,0.33661,1.58919,1.29021,0.99953,0.008944,0.008944,0.008944
18,2644.59,1.72581,1.38633,0.98747,0.80729,0.56002,0.62812,0.34243,1.5435,1.21875,0.99131,0.008878,0.008878,0.008878
19,2774.63,1.71809,1.36028,0.97767,0.80005,0.52477,0.60875,0.32619,1.58986,1.28766,0.99546,0.008812,0.008812,0.008812
20,2905.1,1.71405,1.35759,0.9796,0.7876,0.52619,0.61179,0.3376,1.53826,1.28562,0.98377,0.008746,0.008746,0.008746
21,3029.99,1.70413,1.35258,0.98163,0.8513,0.54038,0.63784,0.34802,1.57238,1.2338,0.99824,0.00868,0.00868,0.00868
22,3154.68,1.70634,1.35063,0.98131,0.75256,0.57965,0.64008,0.34901,1.55304,1.2039,0.98643,0.008614,0.008614,0.008614
23,3279.36,1.69077,1.33312,0.9727,0.8405,0.55966,0.64782,0.35442,1.53644,1.16025,0.97956,0.008548,0.008548,0.008548
24,3404.11,1.70077,1.33027,0.9793,0.83319,0.57727,0.65729,0.36089,1.54172,1.12604,0.9877,0.008482,0.008482,0.008482
25,3529.12,1.70419,1.32613,0.97534,0.82825,0.5627,0.65071,0.35075,1.53506,1.17136,0.9789,0.008416,0.008416,0.008416
26,3654.19,1.70195,1.31972,0.97487,0.82796,0.57126,0.65591,0.36147,1.52648,1.13908,0.98296,0.00835,0.00835,0.00835
27,3779.59,1.69623,1.3224,0.98106,0.8788,0.5444,0.65342,0.35963,1.5274,1.14505,0.98078,0.008284,0.008284,0.008284
28,3904.18,1.68521,1.30263,0.97014,0.80737,0.57603,0.65488,0.3697,1.51292,1.12619,0.98268,0.008218,0.008218,0.008218
29,4028.55,1.68208,1.28666,0.97344,0.88026,0.57408,0.67464,0.36949,1.51741,1.10125,0.97985,0.008152,0.008152,0.008152
30,4153.44,1.68254,1.29194,0.98172,0.86325,0.56902,0.66831,0.37483,1.49866,1.10483,0.97628,0.008086,0.008086,0.008086
31,4278.43,1.66979,1.27667,0.97061,0.87271,0.57207,0.67433,0.37393,1.48857,1.08758,0.97382,0.00802,0.00802,0.00802
32,4403.02,1.67542,1.26493,0.97069,0.82911,0.59319,0.67255,0.37174,1.49132,1.07635,0.97423,0.007954,0.007954,0.007954
33,4527.85,1.67077,1.27038,0.971,0.85271,0.59393,0.67938,0.37812,1.48054,1.07281,0.97167,0.007888,0.007888,0.007888
34,4653.27,1.66484,1.26353,0.97213,0.8505,0.58642,0.68368,0.38404,1.4722,1.06031,0.97011,0.007822,0.007822,0.007822
35,4778.54,1.66155,1.23908,0.96834,0.87535,0.58278,0.67384,0.37811,1.48028,1.0608,0.96951,0.007756,0.007756,0.007756
36,4902.75,1.65193,1.24581,0.96788,0.85828,0.59973,0.6795,0.38312,1.47988,1.06444,0.97155,0.00769,0.00769,0.00769
37,5028.06,1.65448,1.23565,0.97208,0.87669,0.58635,0.68203,0.38614,1.47197,1.04723,0.97241,0.007624,0.007624,0.007624
38,5153.5,1.6451,1.24488,0.96748,0.86469,0.59026,0.68019,0.38134,1.47299,1.04266,0.96769,0.007558,0.007558,0.007558
39,5278.82,1.64426,1.22364,0.97355,0.88153,0.58768,0.68358,0.38559,1.46873,1.04416,0.96821,0.007492,0.007492,0.007492
40,5403.81,1.64213,1.22315,0.96437,0.8764,0.58858,0.68508,0.38348,1.47037,1.03815,0.96663,0.007426,0.007426,0.007426
41,5529.16,1.64341,1.23553,0.96974,0.862,0.58635,0.68216,0.38199,1.46947,1.04703,0.96834,0.00736,0.00736,0.00736
42,5654.49,1.65204,1.23887,0.96808,0.8871,0.59256,0.6934,0.38785,1.46097,1.02909,0.96715,0.007294,0.007294,0.007294
43,5779.98,1.65801,1.22983,0.96694,0.86076,0.59582,0.69014,0.38665,1.46495,1.02832,0.96415,0.007228,0.007228,0.007228
44,5922.19,1.64974,1.20172,0.96507,0.8975,0.58545,0.69359,0.38878,1.46355,1.01829,0.96517,0.007162,0.007162,0.007162
45,6058.7,1.64013,1.21215,0.95871,0.90388,0.58367,0.69604,0.39356,1.4471,1.00913,0.95947,0.007096,0.007096,0.007096
46,6189.66,1.63589,1.21675,0.96155,0.87544,0.59438,0.69716,0.39124,1.45427,1.0078,0.96295,0.00703,0.00703,0.00703
47,6322.75,1.6365,1.20228,0.96753,0.85467,0.60359,0.69709,0.39359,1.44625,1.00509,0.95931,0.006964,0.006964,0.006964
48,6462.75,1.63665,1.20207,0.96326,0.86436,0.60286,0.69978,0.39422,1.44424,1.00884,0.96124,0.006898,0.006898,0.006898
49,6603.33,1.63598,1.20057,0.96728,0.86833,0.59705,0.69535,0.39212,1.43831,1.01021,0.95886,0.006832,0.006832,0.006832
50,6740.92,1.62467,1.1934,0.96405,0.85554,0.60375,0.6939,0.39298,1.44278,1.00867,0.95922,0.006766,0.006766,0.006766
51,6885.39,1.62619,1.1874,0.96133,0.86998,0.59717,0.69484,0.39332,1.43521,1.0039,0.95663,0.0067,0.0067,0.0067
52,7027.63,1.63263,1.18104,0.96107,0.88384,0.5942,0.69541,0.39405,1.43791,1.00519,0.95708,0.006634,0.006634,0.006634
53,7167.65,1.62422,1.18906,0.96521,0.89423,0.58322,0.69703,0.39436,1.4398,1.00219,0.95829,0.006568,0.006568,0.006568
54,7300.57,1.62139,1.18169,0.96693,0.84949,0.60191,0.70033,0.39505,1.43843,0.99975,0.95744,0.006502,0.006502,0.006502
55,7427.99,1.61802,1.17797,0.95649,0.88117,0.58239,0.70103,0.39492,1.43485,1.00089,0.95738,0.006436,0.006436,0.006436
56,7555.5,1.61929,1.18137,0.96183,0.91554,0.5801,0.70128,0.39509,1.437,1.00016,0.95825,0.00637,0.00637,0.00637
57,7682.81,1.61229,1.17447,0.95804,0.89567,0.58998,0.70112,0.39363,1.43398,0.99528,0.95727,0.006304,0.006304,0.006304
58,7809.5,1.60548,1.15595,0.9593,0.86117,0.60598,0.70088,0.39427,1.43323,0.98995,0.95673,0.006238,0.006238,0.006238
59,7936.61,1.60368,1.16002,0.96207,0.85075,0.61554,0.70313,0.39507,1.42978,0.98635,0.95695,0.006172,0.006172,0.006172
60,8063.6,1.60022,1.16507,0.95692,0.85802,0.60943,0.70447,0.39592,1.4278,0.98367,0.95587,0.006106,0.006106,0.006106
61,8189.85,1.60043,1.15863,0.95997,0.86966,0.60286,0.70642,0.3962,1.42636,0.98185,0.95511,0.00604,0.00604,0.00604
62,8315.71,1.6005,1.15202,0.95774,0.86394,0.6033,0.70473,0.39661,1.42607,0.98213,0.95514,0.005974,0.005974,0.005974
63,8441.53,1.59686,1.13692,0.96011,0.88177,0.60018,0.70589,0.39716,1.42388,0.97709,0.95527,0.005908,0.005908,0.005908
64,8567.54,1.60507,1.15304,0.95826,0.88398,0.59839,0.70494,0.39718,1.42486,0.97647,0.9555,0.005842,0.005842,0.005842
65,8693.17,1.58391,1.13756,0.95068,0.88586,0.59929,0.70572,0.39787,1.42405,0.97566,0.9559,0.005776,0.005776,0.005776
66,8819.11,1.60041,1.15257,0.95665,0.89103,0.59839,0.70748,0.39884,1.42178,0.97314,0.95487,0.00571,0.00571,0.00571
67,8944.94,1.58038,1.13848,0.95244,0.89002,0.59947,0.70786,0.39836,1.42105,0.97383,0.95449,0.005644,0.005644,0.005644
68,9070.94,1.59152,1.13483,0.95606,0.89033,0.60152,0.70818,0.401,1.41902,0.97226,0.95452,0.005578,0.005578,0.005578
69,9196.82,1.57814,1.12794,0.95647,0.8938,0.60091,0.70874,0.40091,1.4172,0.96998,0.95435,0.005512,0.005512,0.005512
70,9322.79,1.57983,1.1341,0.95801,0.89206,0.60111,0.70742,0.40164,1.41597,0.96702,0.95415,0.005446,0.005446,0.005446
71,9448.68,1.58056,1.12508,0.95477,0.88772,0.6033,0.70865,0.40258,1.41496,0.9657,0.9538,0.00538,0.00538,0.00538
